losses,time_itr,lambda_,step_size,preprocess_time
28495.785675141924,0.013471126556396484,0.01,0.0001,2.7894973754882812e-05
27602.793857789675,0.015076160430908203,0.01,0.0001,2.7894973754882812e-05
26753.586841148466,0.007748126983642578,0.01,0.0001,2.7894973754882812e-05
25947.71890347585,0.012744903564453125,0.01,0.0001,2.7894973754882812e-05
25156.02187254609,0.012974977493286133,0.01,0.0001,2.7894973754882812e-05
24327.320068766752,0.0091400146484375,0.01,0.0001,2.7894973754882812e-05
24322.908552492918,0.0027017593383789062,0.01,0.0001,2.7894973754882812e-05
24318.96944338689,0.0013811588287353516,0.01,0.0001,2.7894973754882812e-05
24313.36035753191,0.0015947818756103516,0.01,0.0001,2.7894973754882812e-05
24296.813645364244,0.0018761157989501953,0.01,0.0001,2.7894973754882812e-05
24287.186472021986,0.001425027847290039,0.01,0.0001,2.7894973754882812e-05
23562.193894517637,0.0041959285736083984,0.01,0.0001,2.7894973754882812e-05
22821.80120780696,0.01080322265625,0.01,0.0001,2.7894973754882812e-05
22104.262018606107,0.010112762451171875,0.01,0.0001,2.7894973754882812e-05
21475.07101633824,0.010296106338500977,0.01,0.0001,2.7894973754882812e-05
20877.036864334983,0.00722193717956543,0.01,0.0001,2.7894973754882812e-05
20250.44613285177,0.006947040557861328,0.01,0.0001,2.7894973754882812e-05
19660.323929478353,0.008376836776733398,0.01,0.0001,2.7894973754882812e-05
19101.93273478852,0.01120615005493164,0.01,0.0001,2.7894973754882812e-05
18551.978582652333,0.009654760360717773,0.01,0.0001,2.7894973754882812e-05
17962.24419244895,0.010598182678222656,0.01,0.0001,2.7894973754882812e-05
17959.037411371643,0.004045963287353516,0.01,0.0001,2.7894973754882812e-05
17956.552178287548,0.0017669200897216797,0.01,0.0001,2.7894973754882812e-05
17952.49334101799,0.0029430389404296875,0.01,0.0001,2.7894973754882812e-05
17941.64591990353,0.0013611316680908203,0.01,0.0001,2.7894973754882812e-05
17935.029823621906,0.0013718605041503906,0.01,0.0001,2.7894973754882812e-05
17426.051398370102,0.0048160552978515625,0.01,0.0001,2.7894973754882812e-05
16901.44561805305,0.007754087448120117,0.01,0.0001,2.7894973754882812e-05
16397.829296377477,0.011034727096557617,0.01,0.0001,2.7894973754882812e-05
15953.954072167853,0.007995843887329102,0.01,0.0001,2.7894973754882812e-05
15527.698803263957,0.010529041290283203,0.01,0.0001,2.7894973754882812e-05
15077.856486957404,0.01328420639038086,0.01,0.0001,2.7894973754882812e-05
14657.287883411174,0.014742136001586914,0.01,0.0001,2.7894973754882812e-05
14261.468168815232,0.006871938705444336,0.01,0.0001,2.7894973754882812e-05
13870.48295171519,0.01109933853149414,0.01,0.0001,2.7894973754882812e-05
13442.855993974463,0.00719904899597168,0.01,0.0001,2.7894973754882812e-05
13440.520442197527,0.002557039260864258,0.01,0.0001,2.7894973754882812e-05
13438.911894045323,0.0018172264099121094,0.01,0.0001,2.7894973754882812e-05
13435.91896075704,0.001809835433959961,0.01,0.0001,2.7894973754882812e-05
13428.742777574083,0.0028238296508789062,0.01,0.0001,2.7894973754882812e-05
13424.12637309121,0.0015480518341064453,0.01,0.0001,2.7894973754882812e-05
13060.140243556923,0.008146047592163086,0.01,0.0001,2.7894973754882812e-05
12681.576023929245,0.007364988327026367,0.01,0.0001,2.7894973754882812e-05
12321.365005967293,0.012486934661865234,0.01,0.0001,2.7894973754882812e-05
12001.855096033501,0.00702214241027832,0.01,0.0001,2.7894973754882812e-05
11692.122074674771,0.016004085540771484,0.01,0.0001,2.7894973754882812e-05
11363.180785781988,0.00904393196105957,0.01,0.0001,2.7894973754882812e-05
11057.42301032133,0.008144855499267578,0.01,0.0001,2.7894973754882812e-05
10771.616456582477,0.013184070587158203,0.01,0.0001,2.7894973754882812e-05
10488.35822820488,0.011646747589111328,0.01,0.0001,2.7894973754882812e-05
10173.620891357175,0.01221609115600586,0.01,0.0001,2.7894973754882812e-05
10171.918912745286,0.0027909278869628906,0.01,0.0001,2.7894973754882812e-05
10170.850488034986,0.0014851093292236328,0.01,0.0001,2.7894973754882812e-05
10168.612711628093,0.0015537738800048828,0.01,0.0001,2.7894973754882812e-05
10163.822071575083,0.0075299739837646484,0.01,0.0001,2.7894973754882812e-05
10160.565156523164,0.001626729965209961,0.01,0.0001,2.7894973754882812e-05
9896.168254011145,0.0036389827728271484,0.01,0.0001,2.7894973754882812e-05
9618.813469657069,0.009643077850341797,0.01,0.0001,2.7894973754882812e-05
9357.083039139261,0.0068950653076171875,0.01,0.0001,2.7894973754882812e-05
9123.181696256674,0.009107112884521484,0.01,0.0001,2.7894973754882812e-05
8894.50363010465,0.01405477523803711,0.01,0.0001,2.7894973754882812e-05
8650.342428501555,0.010458230972290039,0.01,0.0001,2.7894973754882812e-05
8424.49892736887,0.009797811508178711,0.01,0.0001,2.7894973754882812e-05
